SampleID	MouseID	Time_days	Treatment
MOUSE.G11.Day1	G11	1	PreWTL
MOUSE.G12.Day1	G12	1	PreWTL
MOUSE.G21.Day1	G21	1	PreWTL
MOUSE.H12.Day1	H12	1	PostWTL
MOUSE.H21.Day1	H21	1	PostWTL
MOUSE.H22.Day1	H22	1	PostWTL
MOUSE.G11.Day3	G11	3	PreWTL
MOUSE.G12.Day3	G12	3	PreWTL
MOUSE.G21.Day3	G21	3	PreWTL
MOUSE.H12.Day3	H12	3	PostWTL
MOUSE.H21.Day3	H21	3	PostWTL
MOUSE.H22.Day3	H22	3	PostWTL
MOUSE.G11.Day7	G11	7	PreWTL
MOUSE.G12.Day7	G12	7	PreWTL
MOUSE.G21.Day7	G21	7	PreWTL
MOUSE.H12.Day7	H12	7	PostWTL
MOUSE.H21.Day7	H21	7	PostWTL
MOUSE.H22.Day7	H22	7	PostWTL
MOUSE.G11.Day14	G11	14	PreWTL
MOUSE.G12.Day14	G12	14	PreWTL
MOUSE.G21.Day14	G21	14	PreWTL
MOUSE.H12.Day14	H12	14	PostWTL
MOUSE.H21.Day14	H21	14	PostWTL
MOUSE.H22.Day14	H22	14	PostWTL
MOUSE.G11.Day21	G11	21	PreWTL
MOUSE.G12.Day21	G12	21	PreWTL
MOUSE.G21.Day21	G21	21	PreWTL
MOUSE.H12.Day21	H12	21	PostWTL
MOUSE.H21.Day21	H21	21	PostWTL
MOUSE.H22.Day21	H22	21	PostWTL
